cohort,drug,color,window,theta_pp,ci_low,ci_high,p
MGB,FQ,#e74c3c,7,12.866993442195776,11.857543034758383,13.876443849633171,9.415490925526055e-138
MGB,FQ,#e74c3c,14,15.766208663205289,14.84036585729654,16.692051469114038,3.027534204345281e-244
MGB,FQ,#e74c3c,30,16.747264577996788,15.928039292045598,17.566489863947975,0.0
MGB,FQ,#e74c3c,60,15.484087140830338,14.753211734462731,16.214962547197945,0.0
MGB,FQ,#e74c3c,90,14.786594719092975,14.098227203521448,15.474962234664499,0.0
MGB,FQ,#e74c3c,180,13.006940405896838,12.377064711550705,13.636816100242974,0.0
MGB,FQ,#e74c3c,365,11.283327049555082,10.699054494592275,11.86759960451789,0.0
MGB,Ceph3,#3498db,7,1.4678786085272493,0.920208117845326,2.0155490992091725,1.4952861108091301e-07
MGB,Ceph3,#3498db,14,3.190124964820066,2.644259320051561,3.735990609588571,2.236634587789233e-30
MGB,Ceph3,#3498db,30,4.84964147098534,4.3133247822724,5.38595815969828,2.7881469131150962e-70
MGB,Ceph3,#3498db,60,5.459534025472526,4.936871559239665,5.982196491705387,3.7450658753266627e-93
MGB,Ceph3,#3498db,90,5.532103259172218,5.017049761418142,6.047156756926293,2.208815892259379e-98
MGB,Ceph3,#3498db,180,5.235010209870504,4.735361258849517,5.734659160891491,1.0421056287015506e-93
MGB,Ceph3,#3498db,365,4.304614930649254,3.8233968550172985,4.78583300628121,8.112605929383917e-69
MGB,Sulfa,#9b59b6,7,20.295086411015138,18.834982515591186,21.755190306439086,2.0105163645563874e-163
MGB,Sulfa,#9b59b6,14,21.958831773681478,20.692473540579723,23.225190006783233,3.5804425126305574e-253
MGB,Sulfa,#9b59b6,30,19.82962189793994,18.773251491882778,20.8859923039971,2.534222343112526e-296
MGB,Sulfa,#9b59b6,60,17.703977497550667,16.803210462760802,18.604744532340533,0.0
MGB,Sulfa,#9b59b6,90,15.835508863060827,15.0173276945853,16.653690031536353,0.0
MGB,Sulfa,#9b59b6,180,13.394585827727893,12.690139136005332,14.099032519450452,5.535613148529115e-304
MGB,Sulfa,#9b59b6,365,10.894890352020271,10.281291002034367,11.508489702006177,2.3863933866354194e-265
MGB,Glyco,#2ecc71,7,2.0204540359850953,1.4628011125477969,2.578106959422394,1.236586558936388e-12
MGB,Glyco,#2ecc71,14,3.092043492307212,2.5402935028830878,3.6437934817313367,4.574370400405199e-28
MGB,Glyco,#2ecc71,30,4.273251179491457,3.7302531258207767,4.816249233162138,1.1219544893867323e-53
MGB,Glyco,#2ecc71,60,4.716277101851107,4.189056990847457,5.243497212854757,8.026825433938156e-69
MGB,Glyco,#2ecc71,90,4.773264664551034,4.253661942248469,5.2928673868536,1.7812468887992244e-72
MGB,Glyco,#2ecc71,180,4.676491304447336,4.175847335136345,5.177135273758326,7.153860953832047e-75
MGB,Glyco,#2ecc71,365,4.265372787823227,3.781466623229078,4.749278952417376,7.129021739775979e-67
Stanford,FQ,#e74c3c,7,25.718779477292163,22.826919286539074,28.610639668045255,4.8037982014131985e-68
Stanford,FQ,#e74c3c,14,27.32045817560971,25.102023088758642,29.538893262460775,1.0142265702474435e-128
Stanford,FQ,#e74c3c,30,23.05135156691831,21.553216378710644,24.549486755125976,8.586444580617626e-200
Stanford,FQ,#e74c3c,60,18.810353795396185,17.68017505820906,19.940532532583312,2.063122847818004e-233
Stanford,FQ,#e74c3c,90,16.772983583019748,15.79240150117824,17.753565664861256,2.0533129091584477e-246
Stanford,FQ,#e74c3c,180,14.51066600013888,13.697025675774164,15.324306324503597,1.1066880946356637e-267
Stanford,FQ,#e74c3c,365,13.01188412277772,12.300705176034757,13.723063069520682,1.2879921179328316e-281
Stanford,Ceph3,#3498db,7,13.187914685161678,4.678989393209526,21.69683997711383,0.0023836554656993
Stanford,Ceph3,#3498db,14,18.17024439506362,11.742202713341051,24.59828607678619,3.0202225362410475e-08
Stanford,Ceph3,#3498db,30,11.630334715481451,8.339452571936484,14.921216859026417,4.306932084459629e-12
Stanford,Ceph3,#3498db,60,9.620872130571232,7.369288262932455,11.872455998210011,5.531808840583844e-17
Stanford,Ceph3,#3498db,90,8.500947047323244,6.639784187673103,10.362109906973386,3.483856375660086e-19
Stanford,Ceph3,#3498db,180,6.397097677260927,4.963698355410219,7.830496999111634,2.1891402235300317e-18
Stanford,Ceph3,#3498db,365,5.594266039902543,4.430913361019625,6.75761871878546,4.302431263238437e-21
Stanford,Sulfa,#9b59b6,14,8.390472259699335,-3.252872394929539,20.033816914328206,0.15783314020402395
Stanford,Sulfa,#9b59b6,30,4.593203094413931,-3.3551695358908105,12.541575724718673,0.2573724479271453
Stanford,Sulfa,#9b59b6,60,5.907082635862918,-0.2407416286725153,12.054906900398352,0.059671361600286264
Stanford,Sulfa,#9b59b6,90,3.997383600619216,-1.4448608035721775,9.43962800481061,0.14997681056185275
Stanford,Sulfa,#9b59b6,180,3.1416422439519165,-1.2625848419782086,7.5458693298820405,0.16208605579884794
Stanford,Sulfa,#9b59b6,365,3.1109873984507854,-0.5665234523116416,6.788498249213212,0.09731141449635804
Stanford,Glyco,#2ecc71,7,11.652277932291554,4.772014524488428,18.53254134009468,0.000902252565415146
Stanford,Glyco,#2ecc71,14,10.896828257615908,5.1818301002934515,16.611826414938363,0.00018617156659163743
Stanford,Glyco,#2ecc71,30,8.55018306921401,4.826871717292707,12.273494421135311,6.768354272867404e-06
Stanford,Glyco,#2ecc71,60,7.586790192394449,4.936993842182281,10.236586542606616,2.003601975625677e-08
