cohort,label,is_impossible,theta_pp,ci_low,ci_high,p
MGB,Glyco→FQ (impossible),True,1.65257853719306,0.9974135470975563,2.3077435272885634,7.662046350443542e-07
MGB,Glyco→CRE (impossible),True,0.9812655479353147,0.5886543432245703,1.3738767526460594,9.652205467429113e-07
MGB,Amino→VRE (impossible),True,0.8196785849620655,-0.9427817475279135,2.5821389174520446,0.36201468057208264
MGB,Sulfa→CRE (impossible),True,0.006342439267674578,-0.4098795905159467,0.4225644690512958,0.9761737965072037
MGB,Ceph3→VRE (biologically ambiguous),True,3.08267041619919,2.6206415187024694,3.5446993136959106,4.460522731256044e-39
MGB,Carb→FQ (co-selection expected),False,10.631665660845572,9.52626100772852,11.737070313962624,2.898296052518495e-79
MGB,FQ→VRE (co-selection expected),False,4.699238230402586,4.01375491895238,5.384721541852793,3.706627664210499e-41
Stanford,Glyco→FQ (impossible),True,2.7046536984779537,0.9940711753781015,4.415236221577805,0.001942023778264832
Stanford,Glyco→CRE (impossible),True,0.578179822123179,-0.3499696732642252,1.5063293175105832,0.22211005046128962
Stanford,Amino→VRE (impossible),True,2.282023067532515,-0.8017442507773007,5.365790385842331,0.14694819052157704
Stanford,Sulfa→CRE (impossible),True,1.5233260936869046,-1.5215045042850701,4.56815669165888,0.3268056865384038
Stanford,Ceph3→VRE (biologically ambiguous),True,4.002559360101578,1.9247411666415217,6.080377553561633,0.00015966556471383477
Stanford,Carb→FQ (co-selection expected),False,20.604004744685238,16.683095557427837,24.524913931942635,7.088426006805398e-25
Stanford,FQ→VRE (co-selection expected),False,3.1326178386965644,2.2060578111588005,4.059177866234328,3.438195689590976e-11
MIMIC-IV,Glyco→FQ (impossible),True,2.820150441308052,2.4458043960346347,3.1944964865814685,2.446305275711803e-49
MIMIC-IV,Glyco→CRE (impossible),True,1.2287654857821255,1.095394978048351,1.3621359935159,6.888912561951703e-73
MIMIC-IV,Amino→VRE (impossible),True,2.0914297751451896,1.496367630523453,2.6864919197669264,5.635613632552502e-12
MIMIC-IV,Sulfa→CRE (impossible),True,1.4735348459216946,1.1713417364963319,1.7757279553470575,1.2115882174658732e-21
MIMIC-IV,Ceph3→VRE (biologically ambiguous),True,3.9926760561759678,3.7156303447864283,4.269721767565508,1.5827881631019541e-175
MIMIC-IV,Carb→FQ (co-selection expected),False,6.593813906753354,5.908731168520778,7.27889664498593,2.2402616530314898e-79
MIMIC-IV,FQ→VRE (co-selection expected),False,3.7364318840286814,3.4766651710012786,3.996198597056084,7.386232081792882e-175
