theta,theta_pp,ci_low,ci_high,se,p_value,n,n_treated,boot_n,cohort,t_col,y_col,label,naive_pp
0.14782224888603437,14.782224888603437,14.094070079523721,15.470379697683153,0.003511058440398868,0.0,145445,24096,1000,MGB,T_fq_90d,Y_fq_resistant,FQ,18.898301442448712
0.05552465896880239,5.552465896880239,5.03754492959409,6.067386864166388,0.00262719606762053,3.826588405965483e-99,120126,40225,1000,MGB,T_ceph3_90d,Y_ceph3_resistant,Ceph3,10.892459841676823
0.05272173924931193,5.2721739249311925,4.480168345815519,6.064179504046866,0.004040919044242204,6.612758793881914e-39,108508,7620,1000,MGB,T_carb_90d,Y_carb_resistant,Carb/CRE,11.472881442709996
0.047158963327752025,4.715896332775203,4.1969526539083954,5.23484001164201,0.0026477204834383108,5.790122147658442e-71,41836,16989,1000,MGB,T_glyco_90d,Y_glyco_resistant,Glyco/VRE,8.196485405508955
0.1588990696002607,15.889906960026071,15.072591028301435,16.707222891750707,0.004170055869248211,0.0,135525,12973,1000,MGB,T_sulfa_90d,Y_sulfa_resistant,Sulfa,18.950430747200013
0.03911404779011639,3.911404779011639,3.336255491612998,4.48655406641028,0.002934489061714118,1.568136373438384e-40,113827,15144,1000,MGB,T_esp_90d,Y_esp_resistant,ESP,8.536189109248143
0.034070193280859855,3.4070193280859855,1.937273461977687,4.876765194194284,0.007498841191478346,5.53555347725769e-06,142622,2199,1000,MGB,T_amino_90d,Y_amino_resistant,Amino,8.537995688897837
