stratum,pair,theta_pp,ci_low,ci_high,p,n
Non-ICU,FQ → FQ Resistance,10.119463817055705,9.497819507945032,10.741108126166377,2.250102331927023e-223,195476
ICU,FQ → FQ Resistance,7.338835452732159,6.644348244262556,8.033322661201762,2.7297956654330803e-95,60266
Non-ICU,Ceph3 → Ceph3 Resistance,4.497318850360261,4.0403967061404495,4.954240994580072,6.366048600617062e-83,195476
ICU,Ceph3 → Ceph3 Resistance,3.3726186917330425,2.8682204070486432,3.877016976417442,3.0768562492877366e-39,60266
Non-ICU,Carb → CRE,3.766530200777909,3.2345167697533013,4.2985436318025165,8.844465731494946e-44,195476
ICU,Carb → CRE,5.349911654368665,4.797113477583837,5.902709831153493,3.119092277352302e-80,60266
Non-ICU,Glyco → VRE,3.800213015323487,3.529486268346023,4.070939762300951,1.255587284016919e-166,195476
ICU,Glyco → VRE,3.0581414521377392,2.77203257955373,3.344250324721748,1.8948242008257543e-97,60266
