group,pair,theta_pp,ci_low,ci_high,p
Low deprivation (ADI Q1-Q3),FQ → FQ Resistance,14.561043202917634,13.851672967854519,15.270413437980748,0.0
High deprivation (ADI Q4),FQ → FQ Resistance,16.356828777805287,13.032747129209021,19.680910426401553,5.191050169250213e-22
Low deprivation (ADI Q1-Q3),Ceph3 → Ceph3 Resistance,4.899192802184834,4.370722017979513,5.427663586390155,8.942225829875823e-74
High deprivation (ADI Q4),Ceph3 → Ceph3 Resistance,5.724773411809239,3.181278991518032,8.268267832100445,1.0270841022795007e-05
Low deprivation (ADI Q1-Q3),Carb → CRE,4.392775428773231,3.602404360235896,5.183146497310565,1.2417822332015948e-27
High deprivation (ADI Q4),Carb → CRE,11.436177027532182,7.125682416397916,15.746671638666445,1.9930765139164723e-07
Low deprivation (ADI Q1-Q3),Glyco → VRE,4.589599010807727,4.053352849580287,5.125845172035166,3.728010164412119e-63
High deprivation (ADI Q4),Glyco → VRE,5.087726625709044,2.5668452161798454,7.608608035238242,7.63222281346957e-05
