cohort,analysis,drug,theta_pp,ci_lo,ci_hi,p,interpretation
MGB,recency,FQ,8.8516487402389,8.451960457803805,9.251337022673995,0.0,+8.9pp per recency tier
Stanford,recency,FQ,11.795442988703368,11.139378427590717,12.45150754981602,5.1715821828112634e-272,+11.8pp per recency tier
MIMIC-IV,duration,FQ,4.579440305897706,3.8486481235102223,5.31023248828519,1.1326428477626189e-34,+4.6pp per duration tier
